Genre,Ranks,Product,Author,Links,Price,Rating,Reviews
All,88,GIKSO 100 Maths Puzzles Book - Brain Boosting Mathematical Activities for Age 7+ Years Old Kids | Game Book (English) - Reprinted 2021,GIKSO,https://amazon.in/GIKSO-100-Maths-Puzzles-Book/dp/8193864999/ref=zg_bs_books_88/259-2992512-9024531?pd_rd_i=8193864999&psc=1,170.00,4.3,NA
All,89,108 Panchatantra Stories (Illustrated) for children,Maple Press,https://amazon.in/108-Panchatantra-Stories-Illustrated-children/dp/9390292921/ref=zg_bs_books_89/259-2992512-9024531?pd_rd_i=9390292921&psc=1,91.00,4.4,"1,292"
All,90,"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson",Mitch Albom,https://amazon.in/Tuesdays-Morrie-young-greatest-lesson/dp/0751527378/ref=zg_bs_books_90/259-2992512-9024531?pd_rd_i=0751527378&psc=1,236.00,4.6,"13,770"
All,91,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,https://amazon.in/Subtle-Art-Not-Giving/dp/0062641549/ref=zg_bs_books_91/259-2992512-9024531?pd_rd_i=0062641549&psc=1,303.00,4.5,"60,942"
All,92,"MTG 34 Years NEET Previous Year Solved Question Papers with NEET Chapterwise Topicwise Solutions - NEET 2022 Preparation Books, Set of 3 Books NTA Neet 34 Years Questions, Physics Chemistry Biology",MTG Learning Media (P) Ltd.,https://amazon.in/Previous-Question-Chapterwise-Topicwise-Solutions/dp/B09HTLGSQF/ref=zg_bs_books_92/259-2992512-9024531?pd_rd_i=B09HTLGSQF&psc=1,664.00,4.3,NA
All,93,Oxford School Atlas: India's Most Trusted Atlas 36th edition,Oxford,https://amazon.in/Oxford-School-Atlas/dp/0190123656/ref=zg_bs_books_93/259-2992512-9024531?pd_rd_i=0190123656&psc=1,280.00,4.5,"2,379"
All,94,The Power of A Positive Attitude: Your Road To Success,Roger Fritz,https://amazon.in/Power-Positive-Attitude-Your-Success/dp/9389432642/ref=zg_bs_books_94/259-2992512-9024531?pd_rd_i=9389432642&psc=1,99.00,4.4,"1,735"
All,95,Arihant CBSE Term 2 Mathematics Standard Class 10 Sample Question Papers (As per CBSE Term 2 Sample Paper Issued on 14 Jan 2022),Hanuman Parik,https://amazon.in/Arihant-Mathematics-Standard-Sample-Question/dp/9325798964/ref=zg_bs_books_95/259-2992512-9024531?pd_rd_i=9325798964&psc=1,120.00,4.3,14
All,96,Oswaal CBSE Term 2 English Language & Literature Class 10 Sample Question Paper Book (For Term-2 2022 Exam),Oswaal Editorial Board,https://amazon.in/Oswaal-English-Language-Literature-Question/dp/9354638937/ref=zg_bs_books_96/259-2992512-9024531?pd_rd_i=9354638937&psc=1,122.00,4.5,61
All,97,Oxford English Mini Dictionary - Indian Edition,Dictionaries,https://amazon.in/Oxford-English-Mini-Dictionary-Indian/dp/0198075553/ref=zg_bs_books_97/259-2992512-9024531?pd_rd_i=0198075553&psc=1,185.00,4.4,NA
